Entity,Code,Year,Total_GreenBeans_Tonnes
Indonesia,IDN,2001,569234
Jamaica,JAM,2001,2880
Kenya,KEN,2001,51700
Land Locked Developing Countries (FAO),,2001,526639
Laos,LAO,2001,25796
Least Developed Countries (FAO),,2001,761159.75
Liberia,LBR,2001,3200
Low Income Food Deficit Countries (FAO),,2001,907590.75
Low-income countries,,2001,608839.75
Lower-middle-income countries,,2001,2214252
Madagascar,MDG,2001,64530
Malawi,MWI,2001,4320
Malaysia,MYS,2001,38500
Martinique,MTQ,2001,40
Melanesia,OWID_MNS,2001,63807.15
Mexico,MEX,2001,302996
Middle Africa (FAO),,2001,127535
Mozambique,MOZ,2001,782.41
Myanmar,MMR,2001,2300
Nepal,NPL,2001,89
Net Food Importing Developing Countries (FAO),,2001,1785078.6
New Caledonia,NCL,2001,56
Nicaragua,NIC,2001,66799
Nigeria,NGA,2001,3850
North America,,2001,1209511.6
Northern America (FAO),,2001,3630
Oceania,,2001,63853.42
Oceania (FAO),,2001,63853.42
Panama,PAN,2001,15074
Papua New Guinea,PNG,2001,63720
Paraguay,PRY,2001,2751
Peru,PER,2001,196232
Philippines,PHL,2001,112271
Polynesia,OWID_PYA,2001,46.27
Puerto Rico,PRI,2001,8650
Rwanda,RWA,2001,18366
Saint Vincent and the Grenadines,VCT,2001,155
Samoa,WSM,2001,8
Sao Tome and Principe,STP,2001,22
Sierra Leone,SLE,2001,16267.37
Small Island Developing States (FAO),,2001,170148.12
South America,,2001,2955622
South America (FAO),,2001,2955622
South-eastern Asia (FAO),,2001,1689144
Southern Asia (FAO),,2001,311299
Sri Lanka,LKA,2001,10210
Suriname,SUR,2001,4
Taiwan,TWN,2001,0
Tanzania,TZA,2001,58100
Thailand,THA,2001,86009
Togo,TGO,2001,16900
Tonga,TON,2001,14.1
Trinidad and Tobago,TTO,2001,406
Uganda,UGA,2001,197410
United States,USA,2001,3630
Upper-middle-income countries,,2001,4378488
Vanuatu,VUT,2001,15
Venezuela,VEN,2001,91877
Vietnam,VNM,2001,840600
Western Africa (FAO),,2001,357033.38
Western Asia (FAO),,2001,11906
World,OWID_WRL,2001,7379937
Yemen,YEM,2001,11906
Zambia,ZMB,2001,5868
Zimbabwe,ZWE,2001,7518
Africa,,2002,1097192.8
Africa (FAO),,2002,1097192.8
Americas (FAO),,2002,4793795
Angola,AGO,2002,1260
Asia,,2002,1972317.1
Asia (FAO),,2002,1972317.1
Belize,BLZ,2002,227
Benin,BEN,2002,100
Bolivia,BOL,2002,24513
Brazil,BRA,2002,2610524
Burundi,BDI,2002,182182
Cambodia,KHM,2002,300.17
Cameroon,CMR,2002,41000
Caribbean (FAO),,2002,90130.73
Central African Republic,CAF,2002,13000
Central America (FAO),,2002,1045084.25
China,CHN,2002,19456
China (FAO),,2002,19456
Colombia,COL,2002,696840
Comoros,COM,2002,102.67
Congo,COG,2002,1687
Cook Islands,COK,2002,6.78
Costa Rica,CRI,2002,140874
Cote d'Ivoire,CIV,2002,182001
Cuba,CUB,2002,14700
Democratic Republic of Congo,COD,2002,32080
Dominica,DMA,2002,271.73
Dominican Republic,DOM,2002,37330
East Timor,TLS,2002,14000
Eastern Africa (FAO),,2002,767665.3
Eastern Asia (FAO),,2002,19456
Ecuador,ECU,2002,23325
El Salvador,SLV,2002,91513
Equatorial Guinea,GNQ,2002,5000
Ethiopia,ETH,2002,160000
Fiji,FJI,2002,15
French Polynesia,PYF,2002,17.48
Gabon,GAB,2002,180
Ghana,GHA,2002,1464
Guadeloupe,GLP,2002,35
Guatemala,GTM,2002,255091.28
Guinea,GIN,2002,19680
Guyana,GUY,2002,300
Haiti,HTI,2002,27000
High-income countries,,2002,163848.48
Honduras,HND,2002,172727
India,IND,2002,301000
Indonesia,IDN,2002,682019
Jamaica,JAM,2002,2760
Kenya,KEN,2002,51900
Land Locked Developing Countries (FAO),,2002,659469
Laos,LAO,2002,32197
Least Developed Countries (FAO),,2002,889645.9
Liberia,LBR,2002,3345.77
Low Income Food Deficit Countries (FAO),,2002,997060.75
Low-income countries,,2002,720972.06
Lower-middle-income countries,,2002,1898831
Madagascar,MDG,2002,61520
Malawi,MWI,2002,2980
Malaysia,MYS,2002,39200
Martinique,MTQ,2002,37
Melanesia,OWID_MNS,2002,65155.2
Mexico,MEX,2002,313027
Middle Africa (FAO),,2002,94232
Mozambique,MOZ,2002,786.66
Myanmar,MMR,2002,2700
Nepal,NPL,2002,139
Net Food Importing Developing Countries (FAO),,2002,1750467.8
New Caledonia,NCL,2002,20
Nicaragua,NIC,2002,60235
Nigeria,NGA,2002,4100
North America,,2002,1138615
Northern America (FAO),,2002,3400
Oceania,,2002,65201.58
Oceania (FAO),,2002,65201.58
Panama,PAN,2002,11390
Papua New Guinea,PNG,2002,65100
Paraguay,PRY,2002,2434
Peru,PER,2002,212770
Philippines,PHL,2002,107080
Polynesia,OWID_PYA,2002,46.38
Puerto Rico,PRI,2002,7600
Rwanda,RWA,2002,19427
Saint Vincent and the Grenadines,VCT,2002,150
Samoa,WSM,2002,8
Sao Tome and Principe,STP,2002,25
Sierra Leone,SLE,2002,16704.64
Small Island Developing States (FAO),,2002,169990.98
South America,,2002,3655180
South America (FAO),,2002,3655180
South-eastern Asia (FAO),,2002,1630443.1
Southern Asia (FAO),,2002,310919
Sri Lanka,LKA,2002,9780
Suriname,SUR,2002,4
Taiwan,TWN,2002,0
Tanzania,TZA,2002,66170
Thailand,THA,2002,53447
Togo,TGO,2002,7900
Tonga,TON,2002,14.12
Trinidad and Tobago,TTO,2002,247
Uganda,UGA,2002,209547
United States,USA,2002,3400
Upper-middle-income countries,,2002,5144776
Vanuatu,VUT,2002,20.2
Venezuela,VEN,2002,84470
Vietnam,VNM,2002,699500
Western Africa (FAO),,2002,235295.4
Western Asia (FAO),,2002,11499
World,OWID_WRL,2002,7928506.5
Yemen,YEM,2002,11499
Zambia,ZMB,2002,5000
Zimbabwe,ZWE,2002,8050
Africa,,2003,811628.4
Africa (FAO),,2003,811628.4
Americas (FAO),,2003,4138066.5
Angola,AGO,2003,2040
Asia,,2003,2020006
Asia (FAO),,2003,2020006
Belize,BLZ,2003,229
Benin,BEN,2003,60
Bolivia,BOL,2003,24700
Brazil,BRA,2003,1987074
Burundi,BDI,2003,35682
Cambodia,KHM,2003,305.02
Cameroon,CMR,2003,48000
Caribbean (FAO),,2003,95586.74
Central African Republic,CAF,2003,5520
Central America (FAO),,2003,1038303.5
China,CHN,2003,23144
China (FAO),,2003,23144
Colombia,COL,2003,694080
Comoros,COM,2003,100
Congo,COG,2003,2000
Cook Islands,COK,2003,3
Costa Rica,CRI,2003,132259
Cote d'Ivoire,CIV,2003,140027
Cuba,CUB,2003,15000
Democratic Republic of Congo,COD,2003,32050
Dominica,DMA,2003,253.74
Dominican Republic,DOM,2003,36929
East Timor,TLS,2003,12000
Eastern Africa (FAO),,2003,524609.5
Eastern Asia (FAO),,2003,23144
Ecuador,ECU,2003,23579
El Salvador,SLV,2003,81157
Equatorial Guinea,GNQ,2003,5000
Ethiopia,ETH,2003,126188
Fiji,FJI,2003,15.1
French Polynesia,PYF,2003,17.42
Gabon,GAB,2003,120
Ghana,GHA,2003,900
Guadeloupe,GLP,2003,30
Guatemala,GTM,2003,244200
Guinea,GIN,2003,20880
Guyana,GUY,2003,480
Haiti,HTI,2003,30000
High-income countries,,2003,158014.92
Honduras,HND,2003,175284
India,IND,2003,275275
Indonesia,IDN,2003,663571
Jamaica,JAM,2003,3300
Kenya,KEN,2003,55443
Land Locked Developing Countries (FAO),,2003,406973
Laos,LAO,2003,27850
Least Developed Countries (FAO),,2003,630689.44
Liberia,LBR,2003,3538.89
Low Income Food Deficit Countries (FAO),,2003,777204.4
Low-income countries,,2003,475463.4
Lower-middle-income countries,,2003,1952455.9
Madagascar,MDG,2003,70315
Malawi,MWI,2003,2584
Malaysia,MYS,2003,40000
Martinique,MTQ,2003,35
Melanesia,OWID_MNS,2003,69348.96
Mexico,MEX,2003,310861
Middle Africa (FAO),,2003,94752.97
Mozambique,MOZ,2003,801.53
Myanmar,MMR,2003,2960
Nepal,NPL,2003,188
Net Food Importing Developing Countries (FAO),,2003,1415479.2
New Caledonia,NCL,2003,18
Nicaragua,NIC,2003,82727
Nigeria,NGA,2003,4360
North America,,2003,1137650.2
Northern America (FAO),,2003,3760
Oceania,,2003,69391.5
Oceania (FAO),,2003,69391.51
Panama,PAN,2003,11586.5
Papua New Guinea,PNG,2003,69300
Paraguay,PRY,2003,3085
Peru,PER,2003,203148
Philippines,PHL,2003,106388
Polynesia,OWID_PYA,2003,42.55
Puerto Rico,PRI,2003,9308
Rwanda,RWA,2003,13805
Saint Vincent and the Grenadines,VCT,2003,145
Samoa,WSM,2003,8
Sao Tome and Principe,STP,2003,22.97
Sierra Leone,SLE,2003,17000
Small Island Developing States (FAO),,2003,177815.55
South America,,2003,3000416.2
South America (FAO),,2003,3000416.2
South-eastern Asia (FAO),,2003,1700681
Southern Asia (FAO),,2003,284573
Sri Lanka,LKA,2003,9110
Suriname,SUR,2003,5.32
Taiwan,TWN,2003,0
Tanzania,TZA,2003,52320
Thailand,THA,2003,53907
Togo,TGO,2003,5500
Tonga,TON,2003,14.13
Trinidad and Tobago,TTO,2003,586
Uganda,UGA,2003,150871
United States,USA,2003,3760
Upper-middle-income countries,,2003,4453090.5
Vanuatu,VUT,2003,15.85
Venezuela,VEN,2003,64265
Vietnam,VNM,2003,793700
Western Africa (FAO),,2003,192265.89
Western Asia (FAO),,2003,11608
World,OWID_WRL,2003,7039092.5
Yemen,YEM,2003,11608
Zambia,ZMB,2003,6500
Zimbabwe,ZWE,2003,10000
Africa,,2004,1064072.8
Africa (FAO),,2004,1064072.8
Americas (FAO),,2004,4622145.5
Angola,AGO,2004,1980
Asia,,2004,2116732
Asia (FAO),,2004,2116732
Belize,BLZ,2004,231
Benin,BEN,2004,85.77
Bolivia,BOL,2004,24546
Brazil,BRA,2004,2465710
Burundi,BDI,2004,204509
Cambodia,KHM,2004,310
Cameroon,CMR,2004,54000
Caribbean (FAO),,2004,92817.76
Central African Republic,CAF,2004,4320
Central America (FAO),,2004,1027412.8
China,CHN,2004,21659
China (FAO),,2004,21659
Colombia,COL,2004,674400
Comoros,COM,2004,110.1
Congo,COG,2004,2800
Cook Islands,COK,2004,0
Costa Rica,CRI,2004,126000
Cote d'Ivoire,CIV,2004,154081
Cuba,CUB,2004,15240
Democratic Republic of Congo,COD,2004,32020
Dominica,DMA,2004,235.76
Dominican Republic,DOM,2004,35421
East Timor,TLS,2004,14500
Eastern Africa (FAO),,2004,753554.1
Eastern Asia (FAO),,2004,21659
Ecuador,ECU,2004,27932
El Salvador,SLV,2004,83088
Equatorial Guinea,GNQ,2004,4000
Ethiopia,ETH,2004,156170
Fiji,FJI,2004,15.01
French Polynesia,PYF,2004,15
Gabon,GAB,2004,134.33
Ghana,GHA,2004,1140
Guadeloupe,GLP,2004,19
Guatemala,GTM,2004,250279
Guinea,GIN,2004,20220
Guyana,GUY,2004,480
Haiti,HTI,2004,29000
High-income countries,,2004,152188.8
Honduras,HND,2004,185090
India,IND,2004,270500
Indonesia,IDN,2004,647385
Jamaica,JAM,2004,2400
Kenya,KEN,2004,48431
Land Locked Developing Countries (FAO),,2004,619585
Laos,LAO,2004,23100
Least Developed Countries (FAO),,2004,869914.44
Liberia,LBR,2004,3750.57
Low Income Food Deficit Countries (FAO),,2004,989207.44
Low-income countries,,2004,698542.56
Lower-middle-income countries,,2004,2064123.6
Madagascar,MDG,2004,67775
Malawi,MWI,2004,1590
Malaysia,MYS,2004,39200
Martinique,MTQ,2004,37
Melanesia,OWID_MNS,2004,59910.72
Mexico,MEX,2004,312413
Middle Africa (FAO),,2004,99281.33
Mozambique,MOZ,2004,750
Myanmar,MMR,2004,3500
Nepal,NPL,2004,218
Net Food Importing Developing Countries (FAO),,2004,1704937
New Caledonia,NCL,2004,60
Nicaragua,NIC,2004,57533
Nigeria,NGA,2004,4660
North America,,2004,1122770.5
Northern America (FAO),,2004,2540
Oceania,,2004,59948.13
Oceania (FAO),,2004,59948.13
Panama,PAN,2004,12778.8
Papua New Guinea,PNG,2004,59820
Paraguay,PRY,2004,3353
Peru,PER,2004,231447
Philippines,PHL,2004,102865
Polynesia,OWID_PYA,2004,37.41
Puerto Rico,PRI,2004,10206
Rwanda,RWA,2004,20017
Saint Vincent and the Grenadines,VCT,2004,150
Samoa,WSM,2004,8.32
Sao Tome and Principe,STP,2004,27
Sierra Leone,SLE,2004,18000
Small Island Developing States (FAO),,2004,168117.98
South America,,2004,3499375
South America (FAO),,2004,3499375
South-eastern Asia (FAO),,2004,1806425
Southern Asia (FAO),,2004,278388
Sri Lanka,LKA,2004,7670
Suriname,SUR,2004,4
Taiwan,TWN,2004,0
Tanzania,TZA,2004,72440
Thailand,THA,2004,61765
Togo,TGO,2004,9300
Tonga,TON,2004,14.09
Trinidad and Tobago,TTO,2004,109
Uganda,UGA,2004,170081
United States,USA,2004,2540
Upper-middle-income countries,,2004,4947987.5
Vanuatu,VUT,2004,15.71
Venezuela,VEN,2004,71503
Vietnam,VNM,2004,913800
Western Africa (FAO),,2004,211237.34
Western Asia (FAO),,2004,10260
World,OWID_WRL,2004,7862898.5
Yemen,YEM,2004,10260
Zambia,ZMB,2004,5881
Zimbabwe,ZWE,2004,5800
Africa,,2005,986411.9
Africa (FAO),,2005,986411.9
Americas (FAO),,2005,4292592
Angola,AGO,2005,3500
Asia,,2005,2036915.6
Asia (FAO),,2005,2036915.6
Belize,BLZ,2005,54
Benin,BEN,2005,82.25
Bolivia,BOL,2005,24976
Brazil,BRA,2005,2140169
Burundi,BDI,2005,34828
Cambodia,KHM,2005,319.57
Cameroon,CMR,2005,60000
Caribbean (FAO),,2005,103728.8
Central African Republic,CAF,2005,3300
Central America (FAO),,2005,1055575
China,CHN,2005,21919
China (FAO),,2005,21919
Colombia,COL,2005,667140
Comoros,COM,2005,120
Congo,COG,2005,3300
Cook Islands,COK,2005,0.14
Costa Rica,CRI,2005,125669
Cote d'Ivoire,CIV,2005,230000
Cuba,CUB,2005,10800
Democratic Republic of Congo,COD,2005,31990
Dominica,DMA,2005,217.8
Dominican Republic,DOM,2005,40303
East Timor,TLS,2005,14500
Eastern Africa (FAO),,2005,591871.6
Eastern Asia (FAO),,2005,21919
Ecuador,ECU,2005,40805
El Salvador,SLV,2005,87963
Equatorial Guinea,GNQ,2005,4000
Ethiopia,ETH,2005,171631
Fiji,FJI,2005,15
French Polynesia,PYF,2005,16
Gabon,GAB,2005,100
Ghana,GHA,2005,1200
Guadeloupe,GLP,2005,25
Guatemala,GTM,2005,248277
Guinea,GIN,2005,20770
Guyana,GUY,2005,480
Haiti,HTI,2005,35000
High-income countries,,2005,151350
Honduras,HND,2005,190640
India,IND,2005,275500
Indonesia,IDN,2005,640365
Jamaica,JAM,2005,8897
Kenya,KEN,2005,45200
Land Locked Developing Countries (FAO),,2005,451407.62
Laos,LAO,2005,25000
Least Developed Countries (FAO),,2005,724062.5
Liberia,LBR,2005,4080
Low Income Food Deficit Countries (FAO),,2005,877973.25
Low-income countries,,2005,518418
Lower-middle-income countries,,2005,2161046.5
Madagascar,MDG,2005,55500
Malawi,MWI,2005,1181
Malaysia,MYS,2005,40000
Martinique,MTQ,2005,33
Melanesia,OWID_MNS,2005,76134
Mexico,MEX,2005,294364
Middle Africa (FAO),,2005,106218
Mozambique,MOZ,2005,680
Myanmar,MMR,2005,4000
Nepal,NPL,2005,250
Net Food Importing Developing Countries (FAO),,2005,1599057.4
New Caledonia,NCL,2005,25
Nicaragua,NIC,2005,95455
Nigeria,NGA,2005,4990
North America,,2005,1163022.8
Northern America (FAO),,2005,3719
Oceania,,2005,76174.22
Oceania (FAO),,2005,76174.21
Panama,PAN,2005,13153
Papua New Guinea,PNG,2005,76080
Paraguay,PRY,2005,2900
Peru,PER,2005,188611
Philippines,PHL,2005,105847
Polynesia,OWID_PYA,2005,40.21
Puerto Rico,PRI,2005,7938
Rwanda,RWA,2005,18597
Saint Vincent and the Grenadines,VCT,2005,165
Samoa,WSM,2005,8.39
Sao Tome and Principe,STP,2005,28
Sierra Leone,SLE,2005,20000
Small Island Developing States (FAO),,2005,195089.02
South America,,2005,3129569
South America (FAO),,2005,3129569
South-eastern Asia (FAO),,2005,1720675.6
Southern Asia (FAO),,2005,282990
Sri Lanka,LKA,2005,7240
Suriname,SUR,2005,4
Taiwan,TWN,2005,0
Tanzania,TZA,2005,95390
Thailand,THA,2005,59644
Togo,TGO,2005,7200
Tonga,TON,2005,15.69
Trinidad and Tobago,TTO,2005,350
Uganda,UGA,2005,158100
United States,USA,2005,3719
Upper-middle-income countries,,2005,4561221
Vanuatu,VUT,2005,14
Venezuela,VEN,2005,64484
Vietnam,VNM,2005,831000
Western Africa (FAO),,2005,288322.25
Western Asia (FAO),,2005,11331
World,OWID_WRL,2005,7392093.5
Yemen,YEM,2005,11331
Zambia,ZMB,2005,6684.64
Zimbabwe,ZWE,2005,3960
Africa,,2006,1061882.8
Africa (FAO),,2006,1061882.8
Americas (FAO),,2006,4818186.5
Angola,AGO,2006,5000
Asia,,2006,2219260
Asia (FAO),,2006,2219260
Belize,BLZ,2006,95
Benin,BEN,2006,60
Bolivia,BOL,2006,25272
Brazil,BRA,2006,2573368
Burundi,BDI,2006,149460
Cambodia,KHM,2006,300
Cameroon,CMR,2006,62300
Caribbean (FAO),,2006,105614.22
Central African Republic,CAF,2006,1500
Central America (FAO),,2006,1003384.4
China,CHN,2006,25655
China (FAO),,2006,25655
Colombia,COL,2006,724740
Comoros,COM,2006,119.09
Congo,COG,2006,3000
Cook Islands,COK,2006,0
Costa Rica,CRI,2006,101038
Cote d'Ivoire,CIV,2006,187000
Cuba,CUB,2006,8400
Democratic Republic of Congo,COD,2006,31960
Dominica,DMA,2006,199.84
Dominican Republic,DOM,2006,41352.17
East Timor,TLS,2006,14000
Eastern Africa (FAO),,2006,702446.8
Eastern Asia (FAO),,2006,25655
Ecuador,ECU,2006,31461
El Salvador,SLV,2006,85350
Equatorial Guinea,GNQ,2006,4500
Ethiopia,ETH,2006,241482
Fiji,FJI,2006,14.43
French Polynesia,PYF,2006,16.84
Gabon,GAB,2006,120
Ghana,GHA,2006,1740
Guadeloupe,GLP,2006,24
Guatemala,GTM,2006,240331.38
Guinea,GIN,2006,23226
Guyana,GUY,2006,480
Haiti,HTI,2006,35000
High-income countries,,2006,125758.04
Honduras,HND,2006,213636
India,IND,2006,274000
Indonesia,IDN,2006,682158
Jamaica,JAM,2006,12390
Kenya,KEN,2006,48300
Land Locked Developing Countries (FAO),,2006,612754.7
Laos,LAO,2006,25250
Least Developed Countries (FAO),,2006,843824.8
Liberia,LBR,2006,4260
Low Income Food Deficit Countries (FAO),,2006,975103.06
Low-income countries,,2006,695313
Lower-middle-income countries,,2006,2186543.2
Madagascar,MDG,2006,61635
Malawi,MWI,2006,2091
Malaysia,MYS,2006,32779
Martinique,MTQ,2006,30
Melanesia,OWID_MNS,2006,48474.96
Mexico,MEX,2006,279635
Middle Africa (FAO),,2006,108410
Mozambique,MOZ,2006,700
Myanmar,MMR,2006,4800
Nepal,NPL,2006,300
Net Food Importing Developing Countries (FAO),,2006,1795464.2
New Caledonia,NCL,2006,25
Nicaragua,NIC,2006,70455
Nigeria,NGA,2006,5340
North America,,2006,1112309.6
Northern America (FAO),,2006,3311
Oceania,,2006,48518.24
Oceania (FAO),,2006,48518.24
Panama,PAN,2006,12844
Papua New Guinea,PNG,2006,48420
Paraguay,PRY,2006,3040
Peru,PER,2006,273178
Philippines,PHL,2006,104093
Polynesia,OWID_PYA,2006,43.28
Puerto Rico,PRI,2006,7323.2
Rwanda,RWA,2006,22223
Saint Vincent and the Grenadines,VCT,2006,175
Samoa,WSM,2006,8.44
Sao Tome and Principe,STP,2006,30
Sierra Leone,SLE,2006,20500
Small Island Developing States (FAO),,2006,168862.56
South America,,2006,3705877
South America (FAO),,2006,3705877
South-eastern Asia (FAO),,2006,1895553
Southern Asia (FAO),,2006,280760
Sri Lanka,LKA,2006,6460
Suriname,SUR,2006,6
Taiwan,TWN,2006,0
Tanzania,TZA,2006,34300
Thailand,THA,2006,46873
Togo,TGO,2006,8900
Tonga,TON,2006,18
Trinidad and Tobago,TTO,2006,720
Uganda,UGA,2006,133310
United States,USA,2006,3311
Upper-middle-income countries,,2006,5140179.5
Vanuatu,VUT,2006,15.53
Venezuela,VEN,2006,74332
Vietnam,VNM,2006,985300
Western Africa (FAO),,2006,251026
Western Asia (FAO),,2006,17292
World,OWID_WRL,2006,8147847.5
Yemen,YEM,2006,17292
Zambia,ZMB,2006,6126.7
Zimbabwe,ZWE,2006,2700
Africa,,2007,998151.2
Africa (FAO),,2007,998151.2
Americas (FAO),,2007,4583816.5
Angola,AGO,2007,11523
Asia,,2007,2494485
Asia (FAO),,2007,2494485
Belize,BLZ,2007,45
Benin,BEN,2007,60
Bolivia,BOL,2007,27012
Brazil,BRA,2007,2249011
Burundi,BDI,2007,31964
Cambodia,KHM,2007,320
Cameroon,CMR,2007,47792
Caribbean (FAO),,2007,124004.45
Central African Republic,CAF,2007,2400
Central America (FAO),,2007,1084729
China,CHN,2007,26000
China (FAO),,2007,26000
Colombia,COL,2007,757080
Comoros,COM,2007,120.8
Congo,COG,2007,3000
Cook Islands,COK,2007,0
Costa Rica,CRI,2007,121058
Cote d'Ivoire,CIV,2007,170849
Cuba,CUB,2007,13500
Democratic Republic of Congo,COD,2007,31930
Dominica,DMA,2007,82
Dominican Republic,DOM,2007,41231.97
East Timor,TLS,2007,14000
Eastern Africa (FAO),,2007,661635.6
Eastern Asia (FAO),,2007,26000
Ecuador,ECU,2007,38687
El Salvador,SLV,2007,96355
Equatorial Guinea,GNQ,2007,4397.59
Ethiopia,ETH,2007,273400
Fiji,FJI,2007,14.76
French Polynesia,PYF,2007,17.14
Gabon,GAB,2007,125
Ghana,GHA,2007,1860
Guatemala,GTM,2007,248613.98
Guinea,GIN,2007,26556
Guyana,GUY,2007,480
Haiti,HTI,2007,47000
High-income countries,,2007,145659.62
Honduras,HND,2007,236302
India,IND,2007,288000
Indonesia,IDN,2007,676475
Jamaica,JAM,2007,15117
Kenya,KEN,2007,53368
Land Locked Developing Countries (FAO),,2007,568259.8
Laos,LAO,2007,33200
Least Developed Countries (FAO),,2007,831589.6
Liberia,LBR,2007,3180
Low Income Food Deficit Countries (FAO),,2007,969234.75
Low-income countries,,2007,640126
Lower-middle-income countries,,2007,2537049.2
Madagascar,MDG,2007,56470
